SRR13291825.1348	k141_25_junction	96.739	184	28	211	1	184	2.33e-88
SRR13291825.1348	k141_25_monomer	98.131	107	21	127	80	186	3.17e-52
SRR13291825.1348	k141_25_monomer	95.238	84	128	211	1	84	4.18e-36
SRR13291825.7981	k141_25_junction	99.468	188	28	215	1	188	6.39e-99
SRR13291825.7981	k141_25_monomer	100.000	107	21	127	80	186	1.46e-55
SRR13291825.7981	k141_25_monomer	98.864	88	128	215	1	88	2.48e-43
SRR13291825.22998	k141_25_junction	93.617	188	28	215	1	188	1.41e-80
SRR13291825.22998	k141_25_monomer	96.262	107	21	127	80	186	6.85e-49
SRR13291825.22998	k141_25_monomer	90.909	88	128	215	1	88	1.17e-31
SRR13291825.30955	k141_25_junction	89.617	183	28	210	1	183	4.01e-66
SRR13291825.30955	k141_25_monomer	99.065	107	21	127	80	186	6.81e-54
SRR13291825.31134	k141_25_junction	97.872	188	28	215	1	188	6.43e-94
SRR13291825.31134	k141_25_monomer	100.000	105	21	125	80	184	1.89e-54
SRR13291825.31134	k141_25_monomer	96.591	88	128	215	1	88	5.37e-40
SRR13291825.32207	k141_25_junction	97.253	182	28	209	1	182	6.48e-89
SRR13291825.32207	k141_25_monomer	98.131	107	21	127	80	186	3.17e-52
SRR13291825.32207	k141_25_monomer	96.341	82	128	209	1	82	1.16e-36
SRR13291825.37317	k141_25_junction	99.468	188	28	215	1	188	6.39e-99
SRR13291825.37317	k141_25_monomer	100.000	107	21	127	80	186	1.46e-55
SRR13291825.37317	k141_25_monomer	98.864	88	128	215	1	88	2.48e-43
SRR13291825.39762	k141_25_junction	97.326	187	28	214	1	187	1.08e-91
SRR13291825.39762	k141_25_monomer	100.000	107	21	127	80	186	1.46e-55
SRR13291825.39762	k141_25_monomer	94.253	87	128	214	1	87	4.18e-36
SRR13291825.43265	k141_25_junction	94.737	171	28	197	1	170	1.42e-75
SRR13291825.43265	k141_25_monomer	98.131	107	21	127	80	186	3.17e-52
SRR13291825.46215	k141_25_junction	94.149	188	28	215	1	188	3.04e-82
SRR13291825.46215	k141_25_monomer	98.131	107	21	127	80	186	3.17e-52
SRR13291825.46215	k141_25_monomer	89.773	88	128	215	1	88	5.45e-30
SRR13291825.46234	k141_25_junction	97.340	188	28	215	1	188	2.99e-92
SRR13291825.46234	k141_25_monomer	99.065	107	21	127	80	186	6.81e-54
SRR13291825.46234	k141_25_monomer	95.455	88	128	215	1	88	2.50e-38
SRR13291825.48021	k141_25_junction	95.676	185	28	212	1	185	1.40e-85
SRR13291825.48021	k141_25_monomer	99.065	107	21	127	80	186	6.81e-54
SRR13291825.49951	k141_25_junction	94.681	188	28	215	1	188	6.52e-84
SRR13291825.49951	k141_25_monomer	98.131	107	21	127	80	186	3.17e-52
SRR13291825.49951	k141_25_monomer	90.909	88	128	215	1	88	1.17e-31
SRR13291825.50106	k141_25_junction	91.489	188	28	215	1	188	6.62e-74
SRR13291825.50106	k141_25_monomer	98.077	104	21	124	80	183	1.47e-50
SRR13291825.51886	k141_25_junction	89.947	189	28	215	1	188	6.66e-69
SRR13291825.51886	k141_25_monomer	96.262	107	21	127	80	186	6.85e-49
SRR13291825.52151	k141_25_junction	91.935	186	28	212	1	185	6.62e-74
SRR13291825.52151	k141_25_monomer	96.262	107	21	127	80	186	6.85e-49
SRR13291825.52151	k141_25_monomer	87.209	86	128	212	1	85	5.49e-25
SRR13291825.54515	k141_25_junction	95.628	183	28	210	1	183	1.81e-84
SRR13291825.54515	k141_25_monomer	99.065	107	21	127	80	186	6.81e-54
SRR13291825.54515	k141_25_monomer	91.566	83	128	210	1	83	1.52e-30
